institute,branch,seat_type,gender,or,cr,year,course,course_id
Indian Institute  of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5456,7066,2016,"Indian Institute  of Technology Bhubaneswar_Civil Engineering (4 Years, Bachelor of Technology)",1
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,5408,7295,2016,"Indian Institute  of Technology Bhubaneswar_Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,6078,8142,2016,"Indian Institute  of Technology Bhubaneswar_Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",3
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1497,2783,2016,"Indian Institute  of Technology Bhubaneswar_Computer Science and Engineering (4 Years, Bachelor of Technology)",4
Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3124,5059,2016,"Indian Institute  of Technology Bhubaneswar_Electrical Engineering (4 Years, Bachelor of Technology)",5
Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2529,4432,2016,"Indian Institute  of Technology Bhubaneswar_Electronics and Communication Engineering (4 Years, Bachelor of Technology)",6
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3710,5716,2016,"Indian Institute  of Technology Bhubaneswar_Mechanical Engineering (4 Years, Bachelor of Technology)",7
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,5708,6399,2016,"Indian Institute  of Technology Bhubaneswar_Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",8
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,5680,6554,2016,"Indian Institute  of Technology Bhubaneswar_Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",9
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,6393,8482,2016,"Indian Institute  of Technology Bhubaneswar_Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",10
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,838,1841,2016,"Indian Institute  of Technology Bombay_Aerospace Engineering (4 Years, Bachelor of Technology)",11
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,422,1479,2016,"Indian Institute  of Technology Bombay_Chemical Engineering (4 Years, Bachelor of Technology)",12
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",OPEN,neutral,3323,4880,2016,"Indian Institute  of Technology Bombay_Chemistry (4 Years, Bachelor of Science)",13
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,897,2251,2016,"Indian Institute  of Technology Bombay_Civil Engineering (4 Years, Bachelor of Technology)",14
Indian Institute  of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1,60,2016,"Indian Institute  of Technology Bombay_Computer Science and Engineering (4 Years, Bachelor of Technology)",15
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,22,227,2016,"Indian Institute  of Technology Bombay_Electrical Engineering (4 Years, Bachelor of Technology)",16
Indian Institute  of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,249,583,2016,"Indian Institute  of Technology Bombay_Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",17
Indian Institute  of Technology Bombay,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,228,514,2016,"Indian Institute  of Technology Bombay_Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",18
Indian Institute  of Technology Bombay,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,1374,2250,2016,"Indian Institute  of Technology Bombay_Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",19
Indian Institute  of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,neutral,6,1041,2016,"Indian Institute  of Technology Bombay_Engineering Physics (4 Years, Bachelor of Technology)",20
Indian Institute  of Technology Bombay,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,1092,1843,2016,"Indian Institute  of Technology Bombay_Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",21
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,26,777,2016,"Indian Institute  of Technology Bombay_Mechanical Engineering (4 Years, Bachelor of Technology)",22
Indian Institute  of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,803,901,2016,"Indian Institute  of Technology Bombay_Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",23
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OPEN,neutral,1657,2971,2016,"Indian Institute  of Technology Bombay_Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",24
