institute,branch,seat_type,gender,or,cr,year,course,course_id,total_seats
Indian Institute  of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,10922,15494,2026,"Indian Institute  of Technology Bhubaneswar_Civil Engineering (4 Years, Bachelor of Technology)",1,18500.0
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,13350,15979,2026,"Indian Institute  of Technology Bhubaneswar_Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2,18500.0
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,14819,15943,2026,"Indian Institute  of Technology Bhubaneswar_Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",3,18500.0
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2344,3265,2026,"Indian Institute  of Technology Bhubaneswar_Computer Science and Engineering (4 Years, Bachelor of Technology)",4,18500.0
Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5974,7500,2026,"Indian Institute  of Technology Bhubaneswar_Electrical Engineering (4 Years, Bachelor of Technology)",5,18500.0
Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3873,5115,2026,"Indian Institute  of Technology Bhubaneswar_Electronics and Communication Engineering (4 Years, Bachelor of Technology)",6,18500.0
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,7759,10825,2026,"Indian Institute  of Technology Bhubaneswar_Mechanical Engineering (4 Years, Bachelor of Technology)",7,18500.0
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,10414,11677,2026,"Indian Institute  of Technology Bhubaneswar_Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",8,18500.0
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,11483,13237,2026,"Indian Institute  of Technology Bhubaneswar_Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",9,18500.0
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,11591,15715,2026,"Indian Institute  of Technology Bhubaneswar_Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",10,18500.0
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1195,2395,2026,"Indian Institute  of Technology Bombay_Aerospace Engineering (4 Years, Bachelor of Technology)",11,18500.0
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,601,2563,2026,"Indian Institute  of Technology Bombay_Chemical Engineering (4 Years, Bachelor of Technology)",12,18500.0
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",OPEN,neutral,3133,7355,2026,"Indian Institute  of Technology Bombay_Chemistry (4 Years, Bachelor of Science)",13,18500.0
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2666,4199,2026,"Indian Institute  of Technology Bombay_Civil Engineering (4 Years, Bachelor of Technology)",14,18500.0
Indian Institute  of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1,67,2026,"Indian Institute  of Technology Bombay_Computer Science and Engineering (4 Years, Bachelor of Technology)",15,18500.0
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,106,463,2026,"Indian Institute  of Technology Bombay_Electrical Engineering (4 Years, Bachelor of Technology)",16,18500.0
Indian Institute  of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,275,280,2026,"Indian Institute  of Technology Bombay_Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",17,18500.0
Indian Institute  of Technology Bombay,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,284,289,2026,"Indian Institute  of Technology Bombay_Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",18,18500.0
Indian Institute  of Technology Bombay,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,1592,2734,2026,"Indian Institute  of Technology Bombay_Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",19,18500.0
Indian Institute  of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,neutral,122,1605,2026,"Indian Institute  of Technology Bombay_Engineering Physics (4 Years, Bachelor of Technology)",20,18500.0
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,490,1709,2026,"Indian Institute  of Technology Bombay_Mechanical Engineering (4 Years, Bachelor of Technology)",21,18500.0
Indian Institute  of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,1409,1766,2026,"Indian Institute  of Technology Bombay_Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",22,18500.0
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OPEN,neutral,2712,4364,2026,"Indian Institute  of Technology Bombay_Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",23,18500.0
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3379,4132,2026,"Indian Institute  of Technology Bombay_Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",24,18500.0
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3185,3190,2026,"Indian Institute  of Technology Bombay_Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",25,18500.0
Indian Institute  of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,10954,13856,2026,"Indian Institute  of Technology Mandi_Civil Engineering (4 Years, Bachelor of Technology)",26,18500.0
Indian Institute  of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2096,3128,2026,"Indian Institute  of Technology Mandi_Computer Science and Engineering (4 Years, Bachelor of Technology)",27,18500.0
Indian Institute  of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5136,7365,2026,"Indian Institute  of Technology Mandi_Electrical Engineering (4 Years, Bachelor of Technology)",28,18500.0
